id,prop_id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
3836,8827901450,20141031T000000,889000,4,2.5,2570,4480,1.5,0,0,4,8,1580,990,1927,0,98105,47.6701,-122.291,2070,4480
3602,2487200940,20140814T000000,889000,4,3.5,3210,5000,3,0,0,3,9,3210,0,2014,0,98136,47.5203,-122.393,1360,5000
19747,9492500160,20140723T000000,889950,4,2.75,3080,7242,2,0,0,3,9,3080,0,2014,0,98033,47.6948,-122.178,3010,7205
20379,1853080840,20150211T000000,889950,5,3.5,3700,7055,2,0,0,3,9,3700,0,2014,0,98074,47.5929,-122.057,3170,6527
6806,3117100130,20140714T000000,890000,3,3.25,4030,12765,2,0,0,4,9,2800,1230,1975,0,98005,47.6331,-122.166,2670,13447
20382,8562710250,20140505T000000,890000,4,4.25,4420,5750,2,0,0,3,10,3410,1010,2006,0,98027,47.5404,-122.073,4420,5750
5455,9413600420,20140612T000000,890000,3,2.25,2060,8640,1,0,0,4,8,2060,0,1966,0,98033,47.6534,-122.195,2030,9000
6288,3523069008,20150505T000000,890000,4,3.25,4360,210254,1,0,0,3,10,2320,2040,2000,0,98038,47.4375,-122.008,2410,87120
9852,9350900550,20150429T000000,890000,4,2.25,2870,8393,1,0,0,4,8,1480,1390,1977,0,98040,47.5787,-122.245,2930,9850
10174,5452800800,20140613T000000,890000,4,2.25,2770,13500,2,0,0,3,8,2770,0,1974,0,98040,47.543,-122.231,2300,13500
19173,925069152,20150304T000000,890000,2,1.75,3050,50965,2,0,0,3,10,3050,0,1991,0,98053,47.6744,-122.05,3050,40107
520,1923069078,20140805T000000,890000,4,3.25,3180,194278,2,0,0,3,10,3180,0,2005,0,98059,47.4711,-122.084,2200,178160
12647,924069106,20150313T000000,890000,4,2,1480,11171,1.5,0,0,4,6,1480,0,1947,0,98075,47.5849,-122.051,2790,20680
21425,8691430330,20140831T000000,890000,5,3.25,4100,7578,2,0,2,3,10,4100,0,2011,0,98075,47.5955,-121.974,3710,8156
16756,1186000095,20140708T000000,890000,4,2.75,2310,4020,3,0,0,5,8,2310,0,1979,0,98122,47.6154,-122.291,2270,3750
2560,9828202255,20140922T000000,890000,4,2.75,2610,4400,1,0,0,5,8,1260,1350,1920,0,98122,47.6158,-122.293,1770,4400
16342,366000095,20141009T000000,890000,5,1,2590,4652,2,0,0,4,8,2310,280,1907,0,98122,47.6038,-122.294,2360,4650
21489,1853080150,20140811T000000,890776,5,2.75,3170,8093,2,0,0,3,9,3170,0,2014,0,98075,47.5933,-122.06,3210,7062
935,2301400640,20140717T000000,891000,4,2,2330,5000,1.5,0,0,5,7,1720,610,1925,0,98117,47.6804,-122.358,2090,5000
13943,8835700330,20141211T000000,891500,3,2.5,3090,20785,2,0,0,4,10,3090,0,1991,0,98075,47.5602,-122.03,3400,7566
10628,3585300445,20140822T000000,892500,3,1.75,2120,56192,1,0,1,3,9,1720,400,1959,0,98177,47.7665,-122.372,2240,20500
9940,7856700060,20150413T000000,893880,6,2.5,2820,8600,1,0,0,5,8,1430,1390,1967,0,98006,47.565,-122.144,2070,8900
8958,3121500150,20150423T000000,894000,4,2.5,3800,22029,2,0,0,3,9,3800,0,1993,0,98053,47.6734,-122.026,3170,24979
2570,292000070,20150406T000000,895000,5,2.5,2350,14197,1,0,0,4,8,1220,1130,1962,0,98004,47.6005,-122.204,2470,11629
12330,686800070,20140610T000000,895000,5,2.5,2550,20875,1,0,0,4,9,1610,940,1953,0,98004,47.6336,-122.192,2510,21673
8773,7856000110,20150203T000000,895000,3,2.5,2750,10000,1,0,3,3,8,1650,1100,1967,0,98006,47.5644,-122.153,2490,10000
8680,1239400064,20150304T000000,895000,4,2.5,2850,8526,2,0,0,3,9,2850,0,1998,0,98033,47.6747,-122.191,2440,7072
