id,prop_id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
1150,3421079032,20150217T000000,75000,1,0,670,43377,1,0,0,3,3,670,0,1966,0,98022,47.2638,-121.906,1160,42882
15294,40000362,20140506T000000,78000,2,1,780,16344,1,0,0,1,5,780,0,1942,0,98168,47.4739,-122.28,1700,10387
466,8658300340,20140523T000000,80000,1,0.75,430,5050,1,0,0,2,4,430,0,1912,0,98014,47.6499,-121.909,1200,7500
16199,3028200080,20150324T000000,81000,2,1,730,9975,1,0,0,1,5,730,0,1943,0,98168,47.4808,-122.315,860,9000
8275,3883800011,20141105T000000,82000,3,1,860,10426,1,0,0,3,6,860,0,1954,0,98146,47.4987,-122.341,1140,11250
2142,1623049041,20140508T000000,82500,2,1,520,22334,1,0,0,2,5,520,0,1951,0,98168,47.4799,-122.296,1572,10570
18469,7999600180,20140529T000000,83000,2,1,900,8580,1,0,0,3,5,900,0,1918,0,98168,47.4727,-122.27,2060,6533
3768,1523049188,20150430T000000,84000,2,1,700,20130,1,0,0,3,6,700,0,1949,0,98168,47.4752,-122.271,1490,18630
10254,2422049104,20140915T000000,85000,2,1,830,9000,1,0,0,3,6,830,0,1939,0,98032,47.3813,-122.243,1160,7680
16715,1322049150,20150305T000000,85000,2,1,910,9753,1,0,0,3,5,910,0,1947,0,98032,47.3897,-122.236,1160,7405
13757,1788900230,20140722T000000,86500,3,1,840,9480,1,0,0,3,6,840,0,1960,0,98023,47.3277,-122.341,840,9420
5867,9320900420,20141014T000000,89000,3,1,900,4750,1,0,0,4,6,900,0,1969,0,98023,47.3026,-122.363,900,3404
16531,2114700500,20150418T000000,90000,1,1,560,4120,1,0,0,3,4,560,0,1947,0,98106,47.5335,-122.348,980,4120
7993,2734100835,20150303T000000,90000,1,1,780,4000,1,0,0,3,5,780,0,1905,0,98108,47.5424,-122.321,1150,4000
17581,1423049019,20140523T000000,90000,2,1,580,7500,1,0,0,3,5,580,0,1943,0,98178,47.4852,-122.251,1700,11250
10771,795000765,20140616T000000,92000,2,1,760,5500,1.5,0,0,3,5,760,0,1947,0,98168,47.5045,-122.329,1040,5515
3806,7335400215,20150505T000000,95000,1,0.75,760,5746,1,0,0,4,5,760,0,1915,0,98002,47.3046,-122.215,970,6696
10586,6198400218,20140919T000000,95000,2,1,1070,20450,1,0,0,2,6,1070,0,1948,0,98058,47.4338,-122.183,1360,15581
3322,2724200705,20141212T000000,95000,2,1,800,8550,1,0,0,3,7,800,0,1947,0,98198,47.4075,-122.294,1490,8550
14582,6929602721,20150408T000000,95000,2,1,960,7000,1,0,0,3,4,960,0,1918,0,98198,47.3864,-122.307,1850,8120
5724,1788800630,20141029T000000,96500,3,1,840,12091,1,0,0,3,6,840,0,1959,0,98023,47.3281,-122.343,840,9324
5304,5128000010,20150105T000000,99000,2,1,960,8236,1,0,0,2,6,960,0,1948,0,98058,47.4698,-122.166,1260,8236
15457,8856000545,20140507T000000,1.00E+05,2,1,910,22000,1,0,0,3,6,910,0,1956,0,98001,47.2777,-122.252,1326,9891
16341,6146600170,20140703T000000,1.00E+05,2,0.75,660,5240,1,0,0,4,4,660,0,1912,0,98032,47.3881,-122.234,850,5080
5640,7224000980,20140610T000000,1.00E+05,4,1,1120,2685,1,0,0,3,5,860,260,1939,0,98055,47.4904,-122.203,1120,4838
3445,7813200115,20140904T000000,1.00E+05,2,1,790,6426,1,0,0,3,6,790,0,1944,0,98178,47.4933,-122.245,1380,6946
13762,123039604,20140701T000000,102500,2,1,820,4320,1,0,0,3,5,820,0,1937,0,98106,47.514,-122.359,780,7424
11933,723049326,20141208T000000,104950,2,1,1170,8254,1,0,0,2,6,1170,0,1949,0,98146,47.497,-122.346,1820,8922
14284,1788800610,20140902T000000,105000,3,1,840,8400,1,0,0,3,6,840,0,1959,0,98023,47.3277,-122.343,840,9450
14526,4311700120,20150317T000000,105000,3,1,880,18109,1,0,0,4,6,880,0,1970,0,98042,47.3634,-122.101,940,11193
13629,2023049218,20140716T000000,105500,2,1,930,7740,1,0,0,1,5,930,0,1932,0,98148,47.4611,-122.324,1620,8584
8206,7899800450,20140828T000000,107000,2,1,670,4720,1,0,0,4,6,670,0,1948,0,98106,47.5243,-122.358,1480,4720
10425,7129800036,20150114T000000,109000,2,0.5,580,6900,1,0,0,3,5,580,0,1941,0,98118,47.5135,-122.262,1570,5040
20963,1278000210,20150311T000000,110000,2,1,828,4524,1,0,0,3,6,828,0,1968,2007,98001,47.2655,-122.244,828,5402
5622,3806000005,20141030T000000,110000,2,1,760,4746,1,0,0,3,5,760,0,1930,0,98055,47.4836,-122.214,1360,7810
1326,4337000160,20150127T000000,110000,2,1,830,7590,1,0,0,2,6,830,0,1943,0,98166,47.4784,-122.335,980,7590
14738,8018600880,20140611T000000,110000,2,1,800,15000,1,0,0,3,6,800,0,1927,0,98168,47.4932,-122.316,1170,15000
6862,5381000048,20150427T000000,110000,2,1,790,8250,1,0,0,3,6,790,0,1947,0,98188,47.4523,-122.286,900,8250
10905,2123049114,20140519T000000,110700,2,1,680,8064,1,0,0,3,6,680,0,1941,0,98188,47.469,-122.298,1340,10800
10141,2648500030,20140725T000000,112000,1,1,1080,3230,1,0,0,3,6,1080,0,1963,0,98002,47.3075,-122.217,1210,5760
12547,7889600230,20141017T000000,114000,2,1,730,5200,1,0,0,3,6,730,0,1928,0,98146,47.4943,-122.337,1220,6240
8623,892000025,20140710T000000,114975,2,1,740,6250,1,0,0,3,6,740,0,1942,0,98146,47.506,-122.335,980,6957
12209,4031000520,20140708T000000,115000,1,2,1150,9812,1,0,0,4,7,1150,0,1962,0,98001,47.2951,-122.284,1200,9812
17501,8151600101,20150116T000000,115000,2,1,790,7252,1,0,0,3,5,790,0,1930,0,98146,47.5048,-122.365,1260,11470
18509,623049232,20140715T000000,115000,2,0.75,550,7980,1,0,0,3,5,550,0,1952,0,98146,47.511,-122.348,1330,7980
17923,7889601320,20140725T000000,115000,2,1,940,6000,1,0,0,3,6,940,0,1943,0,98146,47.4907,-122.336,1310,6000
8081,1545807810,20141021T000000,118000,1,1,670,7957,1,0,0,4,6,670,0,1978,0,98038,47.3594,-122.056,1600,7957
7246,1446403850,20140916T000000,118125,2,1,790,7153,1,0,0,4,6,790,0,1944,0,98168,47.4869,-122.324,810,7128
5528,3821200050,20140604T000000,119500,3,1,1170,11000,1,0,0,2,6,1170,0,1980,0,98019,47.7346,-121.983,1590,10894
3486,3352402250,20141021T000000,119900,2,1,700,3180,1,0,0,3,6,480,220,1951,0,98178,47.4976,-122.262,1760,6360
7848,2621600015,20150121T000000,120000,3,1,1150,8924,1,0,0,3,6,1150,0,1943,0,98030,47.3865,-122.217,1492,8924
7974,3122069029,20140619T000000,120000,2,1,990,39964,1,0,0,2,4,990,0,1945,0,98042,47.3577,-122.085,1560,8990
3871,7893203565,20141027T000000,120000,3,1,1260,7500,1,0,0,3,6,1260,0,1954,0,98198,47.4191,-122.33,1260,7500
15366,7972000010,20140520T000000,120750,3,1.75,1140,9628,1,0,0,4,7,1140,0,1969,0,98023,47.2933,-122.372,1510,9633
3393,1917300025,20150127T000000,122000,2,1,860,6000,1,0,0,3,6,860,0,1945,0,98022,47.2109,-121.985,1300,6000
