id,prop_id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
4741,3313600266,20150213T000000,190000,3,1,1180,8775,1,0,0,3,7,1180,0,1966,0,98002,47.2848,-122.223,1300,8100
16164,1450100420,20140620T000000,205000,3,1,960,7314,1,0,0,5,6,960,0,1960,0,98002,47.2891,-122.221,990,7314
3806,7335400215,20150505T000000,95000,1,0.75,760,5746,1,0,0,4,5,760,0,1915,0,98002,47.3046,-122.215,970,6696
3684,2891100820,20140825T000000,213500,3,1,1220,6000,1,0,0,4,7,1220,0,1968,0,98002,47.3245,-122.209,1420,6000
6799,1450300050,20140723T000000,224950,4,2.5,2260,9686,1,0,0,4,7,1520,740,1965,0,98002,47.286,-122.218,1750,9916
4297,7116500705,20150129T000000,156000,2,1,920,5889,1,0,0,4,6,920,0,1950,0,98002,47.3012,-122.218,1210,6180
4218,7349650490,20150507T000000,285000,3,1.75,1600,7500,1,0,0,3,7,1600,0,1998,0,98002,47.2831,-122.199,1620,7461
15481,6131600285,20141024T000000,195500,4,1,1230,8636,1.5,0,0,4,6,1230,0,1954,0,98002,47.3231,-122.219,1168,8316
10023,3339900640,20140620T000000,2.00E+05,3,2.25,1230,7420,1.5,0,0,5,7,1230,0,1913,0,98002,47.3184,-122.22,1260,7556
4213,2597500090,20140808T000000,270000,5,2.5,2630,8470,1.5,0,0,4,8,2630,0,1968,0,98002,47.2863,-122.196,1780,8575
11484,7806210400,20140929T000000,255000,5,1.75,1970,8925,1,0,0,5,7,1170,800,1977,0,98002,47.2925,-122.196,1910,8025
5571,1735800050,20150409T000000,142500,1,1,690,6825,1,0,0,4,5,690,0,1917,0,98002,47.3109,-122.225,1330,5381
19,16000397,20141205T000000,189000,2,1,1200,9850,1,0,0,4,7,1200,0,1921,0,98002,47.3089,-122.21,1060,5095
14172,1450000210,20150128T000000,179500,3,1,900,8100,1,0,0,4,6,900,0,1959,0,98002,47.2866,-122.221,1000,7830
2525,835000055,20140620T000000,175000,2,1,1020,5130,1,0,0,4,6,1020,0,1948,0,98002,47.301,-122.226,1200,6497
12088,7806210070,20150211T000000,249500,4,1.5,2120,8554,1,0,0,4,7,1170,950,1977,0,98002,47.2933,-122.195,1790,8554
10865,7140600055,20150411T000000,207000,3,1,990,10800,1,0,0,4,6,990,0,1959,0,98002,47.293,-122.215,1060,10364
10274,1450100390,20150316T000000,208000,3,1,920,7314,1,0,0,3,6,920,0,1960,0,98002,47.2892,-122.22,1010,7420
1676,1821059264,20140626T000000,224000,4,1.5,1600,9289,1,0,0,4,7,1600,0,1959,0,98002,47.3107,-122.212,1540,9918
20417,301400930,20140618T000000,267000,3,2.25,1584,2800,2,0,0,3,7,1584,0,2012,0,98002,47.3454,-122.214,1584,2800
3294,2149800148,20140514T000000,257200,3,2,1850,8250,1,0,0,4,7,1150,700,1952,0,98002,47.3066,-122.209,1580,7153
7390,8669160010,20150325T000000,292500,3,2.5,2095,3438,2,0,0,3,7,2095,0,2008,0,98002,47.3523,-122.213,1805,3402
2207,4399200075,20140703T000000,250000,3,1.75,1770,8868,1,0,0,4,7,1770,0,1959,0,98002,47.3188,-122.212,1630,9706
1605,3021059244,20140814T000000,249950,3,1.75,1320,10454,1,0,0,4,7,1320,0,1968,0,98002,47.2844,-122.216,1680,10183
21088,301402280,20150331T000000,223990,2,2.25,1061,2884,2,0,0,3,7,1061,0,2013,0,98002,47.346,-122.218,1481,2887
1872,1887500045,20141226T000000,247500,4,2,2460,5921,1,0,0,4,7,1230,1230,1948,0,98002,47.308,-122.209,1260,6648
17449,7806210250,20150406T000000,235000,4,1.75,1920,9350,1,0,0,4,7,1000,920,1977,0,98002,47.292,-122.195,1910,8400
18916,3313600077,20140919T000000,185000,3,1,1320,7155,1,0,0,4,6,1320,0,1961,0,98002,47.2857,-122.22,1070,8100
17812,7345000120,20140617T000000,206000,3,1,1320,7000,1,0,0,4,7,1320,0,1967,0,98002,47.2787,-122.205,1260,7455
16551,7468900235,20141022T000000,163500,3,1,940,7200,1,0,0,4,7,940,0,1954,0,98002,47.2979,-122.223,1090,7800
2938,2021069059,20140626T000000,254600,3,2,1470,20000,1,0,0,4,7,1470,0,1968,0,98002,47.2973,-122.08,1390,30056
14169,7349600230,20140729T000000,275000,3,2.25,1640,6044,2,0,0,3,7,1640,0,1996,0,98002,47.2844,-122.205,1600,7418
20753,301401620,20141015T000000,298900,3,2.5,1852,4000,2,0,0,3,7,1852,0,2014,0,98002,47.3451,-122.209,2475,4000
5421,7338001190,20141017T000000,215000,3,1.5,1280,5065,2,0,0,4,6,1280,0,1983,0,98002,47.3343,-122.217,1070,4491
19704,301401370,20140731T000000,319900,4,2.75,2475,4276,2,0,0,3,7,2475,0,2014,0,98002,47.345,-122.21,2475,4000
1234,1450100070,20150430T000000,208000,3,1,990,7420,1,0,0,5,6,990,0,1960,0,98002,47.2898,-122.221,1010,7420
16061,2597501190,20150512T000000,270000,3,2.25,2080,26574,1,0,2,3,7,1380,700,1993,0,98002,47.2846,-122.192,1770,8140
12253,7116000350,20140718T000000,128750,3,1,880,7004,1,0,0,3,5,880,0,1950,0,98002,47.3019,-122.216,880,7828
6490,7335400500,20140711T000000,194900,2,1,810,6697,1,0,0,4,6,810,0,1923,0,98002,47.3057,-122.216,1140,6695
2497,1000102,20140916T000000,280000,6,3,2400,9373,2,0,0,3,7,2400,0,1991,0,98002,47.3262,-122.214,2060,7316
18463,7345200650,20141231T000000,219200,3,2,1680,7000,1.5,0,0,4,7,1680,0,1968,0,98002,47.2775,-122.203,1540,7480
